AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A656520,Emily,10/13/13 12:44,0,Suffering,Cat,Female,<1,Domestic Shorthair Mix,Cream Tabby
A686464,Pearce,1/31/15 12:28,1,Foster,Dog,Male,2,Pit Bull Mix,Blue/White
A671784,Lucy,2/4/14 17:17,1,,Dog,Female,<1,American Pit Bull Terrier Mix,Red/White
A677747,,5/3/14 7:48,1,Offsite,Dog,Female,<1,Cairn Terrier,White
A666320,,11/4/13 14:48,1,,Dog,Female,2,Miniature Schnauzer Mix,Silver
A684601,Rocket,2/3/16 11:27,1,Foster,Dog,Male,4,Pit Bull Mix,Brown
A678825,Oliver,7/12/14 12:10,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A705262,Jamaica,8/15/15 14:22,1,,Dog,Female,2,Plott Hound/Boxer,Brown Brindle/White
A665781,Quattro,10/28/13 16:32,1,,Dog,Male,<1,German Shepherd Mix,Brown/White
A718832,Nia,1/15/16 17:31,1,,Dog,Female,<1,American Staffordshire Terrier Mix,Chocolate/White
A698777,Chloe,3/25/15 18:50,1,,Dog,Female,5,Chihuahua Shorthair Mix,White/Tan
A715348,Cymbale,11/21/15 13:01,1,,Cat,Female,<1,Domestic Shorthair Mix,Cream Tabby/White
A718535,,1/1/16 13:57,0,Suffering,Cat,Female,3,Domestic Shorthair Mix,Calico
A682532,,7/3/14 17:01,1,,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A668626,,12/6/13 14:55,0,Suffering,Dog,Male,3,Labrador Retriever Mix,Yellow
A697199,Pilar,4/4/15 17:26,1,,Cat,Female,7,Domestic Shorthair Mix,Blue Tabby
A676766,Ali,5/28/14 15:52,1,,Cat,Male,2,Domestic Shorthair Mix,Black/White
A697852,Edith,3/9/15 17:57,1,,Dog,Female,<1,German Shepherd Mix,Black/Brown
A666092,,10/30/13 15:37,0,Aggressive,Dog,Male,6,Pit Bull/Labrador Retriever,Chocolate/White
A710107,Caty,10/19/15 18:58,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A701627,Gabe,5/14/15 12:07,1,,Dog,Male,2,Blue Lacy Mix,Gray/White
A690902,Beth,11/18/14 16:05,1,,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby/White
A707687,Bashful,8/16/15 13:52,1,,Cat,Female,<1,Domestic Shorthair Mix,Calico
A682784,Sugar,7/7/14 12:38,1,,Dog,Male,2,Dachshund/Beagle,Brown/White
A678506,Prec Punkin',5/9/14 18:07,0,Suffering,Dog,Female,11,Yorkshire Terrier Mix,Brown/Black
A712236,Bella,9/23/15 11:45,1,,Dog,Female,2,Dachshund Mix,Tan/White
A678172,Bella,5/10/14 18:18,1,,Dog,Female,<1,Chihuahua Shorthair Mix,Red
A676736,Chili,4/30/14 17:55,1,,Dog,Male,<1,Vizsla Mix,Brown
A674913,,3/25/14 18:15,1,,Dog,Female,3,German Shepherd/Great Pyrenees,White
A681410,Nym,6/22/14 17:22,1,,Cat,Female,<1,Domestic Longhair,Brown Tabby
A675021,,3/21/14 17:09,0,Suffering,Cat,Female,<1,Domestic Shorthair Mix,Calico
A704179,Zeus,6/7/15 16:07,1,,Dog,Male,<1,Chow Chow/Pit Bull,Black
A700740,Charlie,12/17/15 12:10,1,Foster,Dog,Male,<1,Chihuahua Shorthair,White
A712376,,9/22/15 12:10,0,Suffering,Cat,Unknown,<1,Domestic Shorthair Mix,Blue Tabby
A691838,Avaddon,2/9/15 17:17,0,Suffering,Dog,Male,12,Pit Bull Mix,Brown Brindle
A687789,,9/14/14 18:51,1,,Dog,Male,<1,Dachshund/Beagle,Brown/White
A704754,Arthur,7/18/15 15:37,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black
A667155,,11/18/13 15:56,1,,Cat,Female,<1,Domestic Medium Hair Mix,Calico
A717147,Freeway,12/15/15 14:16,1,,Dog,Male,<1,Plott Hound Mix,Brown Brindle/White
A687012,Chloe,2/7/16 14:54,1,,Dog,Female,3,Boxer/Great Dane,Black
A676680,Hero,2/6/15 18:56,0,Aggressive,Dog,Female,2,German Shepherd Mix,Black/Tan
A688443,Thelma,12/29/14 15:11,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Black
A715261,Darcy,11/15/15 14:06,1,,Dog,Female,9,Beagle/Treeing Walker Coonhound,White/Brown
A683416,,7/14/14 19:28,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A695155,,1/14/15 16:18,1,,Dog,Male,3,Border Terrier Mix,Gray
A679721,Poppy,5/29/14 17:43,1,,Dog,Male,5,Chihuahua Shorthair Mix,Tan/White
A707767,Lilly,7/19/15 18:27,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A674577,Santiago,3/23/14 18:43,1,,Dog,Male,2,Dogo Argentino Mix,White
A657753,Wiz,12/6/13 16:53,0,Aggressive,Dog,Male,<1,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
A663339,Abby,10/20/13 16:37,1,,Dog,Female,2,Pit Bull Mix,Fawn/White
A695971,,1/26/15 16:23,0,Suffering,Cat,Male,6,Domestic Shorthair Mix,Orange Tabby
A674233,Missy,3/22/14 15:38,1,,Dog,Female,<1,Chihuahua Shorthair Mix,Tan
A679259,Pablo,5/26/14 11:22,1,,Dog,Male,8,Miniature Schnauzer/Miniature Poodle,Black
A688223,,9/21/14 14:15,1,Offsite,Dog,Female,<1,Labrador Retriever Mix,Black/White
A691968,,11/14/14 11:57,0,Suffering,Cat,Female,7,Domestic Shorthair Mix,Tortie
A688871,Pandora,10/3/14 18:43,1,,Cat,Female,<1,Domestic Shorthair Mix,Black
A674530,Jackson,9/11/14 17:03,1,,Dog,Male,5,Pit Bull,Black
A718604,Watson,1/31/16 17:22,1,,Dog,Male,<1,Pit Bull Mix,White/Brown
A662685,Lola,10/22/15 17:18,1,,Dog,Female,3,Pit Bull Mix,Red/White
A707781,Pearl,1/15/16 14:03,1,,Dog,Female,<1,Chihuahua Shorthair/Jack Russell Terrier,Black/White
A689601,Abby,11/23/14 18:55,1,Foster,Dog,Female,<1,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A685062,,8/5/14 13:20,1,,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A672453,,2/16/14 19:38,1,Offsite,Cat,Male,<1,Domestic Medium Hair Mix,Cream Tabby
A702880,Tom,6/28/15 15:33,1,,Cat,Female,<1,Domestic Medium Hair Mix,Calico
A714494,Amarillo,11/1/15 19:11,1,,Dog,Male,<1,Labrador Retriever Mix,Yellow
A711853,Nala,11/7/15 19:14,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A688720,,9/26/14 18:09,1,,Dog,Female,<1,Dachshund Mix,Tan
A679915,Luna,6/1/14 17:48,1,,Cat,Female,<1,Domestic Shorthair Mix,Black/White
A707896,Tokyo,2/19/16 14:58,1,Foster,Cat,Male,2,Domestic Shorthair Mix,Brown Tabby
A702014,Diamond,11/14/15 13:30,1,,Dog,Female,<1,Blue Lacy Mix,Blue/White
A707442,Conrad,8/15/15 11:32,1,,Dog,Male,2,Pit Bull Mix,Brown/White
A682599,Shiva,7/3/14 18:45,1,,Cat,Female,<1,Domestic Longhair,Calico
A714069,Jupiter,12/16/15 11:28,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black Tabby/White
A717167,Oscar,1/23/16 16:05,1,Foster,Cat,Male,4,Domestic Shorthair Mix,Black/White
