Facility/Operator,Location,Year,Quarter,Gamma Radiation,Reported Unit,Comment
Ginna Station,Training Center,2006,4th,21.4,mrem/quarter,
Indian Point, NYU Tower,2010,4th,15,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2010,4th,15,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1997,2nd,16,mrem/quarter,
West Valley Site,Rock Spring Road,2013,1st,,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2004,1st,18.1,mrem/quarter,
Ginna Station,Parking Lot,2003,4th,15.4,mrem/quarter,
West Valley Site,Fox Valley Road,2012,3rd,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
Indian Point, NYU Tower,1995,4th,13.2,mrem/quarter,
Indian Point, Broadway & Bleakly,2010,4th,16,mrem/quarter,
Indian Point, NYU Tower,2008,4th,20.1,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2001,4th,11.8,mrem/quarter,
Ginna Station,Parking Lot,1999,1st,14.3,mrem/quarter,
West Valley Site,Dutch Hill Road,2006,2nd,,mrem/quarter,Sample missing
West Valley Site,Dutch Hill & Schrartz Road,2006,2nd,28.5,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2007,1st,662.6,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Nine Mile Point Site,County Route 29 and 1A,2009,4th,20,mrem/quarter,
West Valley Site,Thomas Corner Road,2005,1st,20,mrem/quarter,
Ginna Station,Webster Sub-Station,2009,1st,19,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2009,1st,25.4,mrem/quarter,
Ginna Station,Parking Lot,2006,3rd,15.8,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2006,1st,683.4,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Rock Spring Road,1999,4th,21.7,mrem/quarter,
"Shoreham, Suffolk County",Danby Reservoir,1995,4th,14,mrem/quarter,monitoring discontinued at end of 1995
Ginna Station,Parking Lot,1999,2nd,12.3,mrem/quarter,
Background,Capital District,2003,1st,13.9,mrem/quarter,
West Valley Site,Fox Valley Road,1998,4th,17.2,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2007,4th,33.7,mrem/quarter,
Ginna Station,Webster Sub-Station,2006,1st,20.9,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Air Sampler North of Plant,1997,2nd,14,mrem/quarter,
Ginna Station,Webster Sub-Station,2010,4th,20,mrem/quarter,
Indian Point, Factory St. Sub-Station,2015,1st,,mrem/quarter,
West Valley Site,Heinz Road,2009,2nd,30,mrem/quarter,
West Valley Site,Thomas Corner Road,2010,1st,26,mrem/quarter,
